,User,Played Game,Game Recommended,Year,Cluster,Score,Weighted Score,Total Ratings
0,107273897,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,33362395,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,53784377,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,168686827,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,154230723,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,87201181,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,87201181,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,161013852,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,138590829,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,154145611,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,111362598,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,34442062,Portal 2,The Haunted: Hells Reach,2011,3,0.86,0.77,588
0,151600301,Unturned,CastleMiner Z,2014,4,0.71,0.71,6309
0,73726855,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,99096740,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,176449171,Dota 2,Games of Glory,2017,4,0.56,0.65,582
